"filename", "language", "PowerShell", "Docker", "YAML", "JavaScript", "Markdown", "JSON", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"e:\Coding\Ezé-U Internet Monitor\docs\TEST_NOTIFICATION_ALL_CHANNELS.md", "Markdown", 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 129, 504
"e:\Coding\Ezé-U Internet Monitor\docs\TIME_RANGE_FIX.md", "Markdown", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 58, 237
"e:\Coding\Ezé-U Internet Monitor\docs\UI_ENHANCEMENTS.md", "Markdown", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 25, 190
"e:\Coding\Ezé-U Internet Monitor\docs\WEBPACK_WARNINGS_FIX.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 41, 121
"e:\Coding\Ezé-U Internet Monitor\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 16395, 0, 0, 0, 0, 1, 16396
"e:\Coding\Ezé-U Internet Monitor\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"e:\Coding\Ezé-U Internet Monitor\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Coding\Ezé-U Internet Monitor\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"e:\Coding\Ezé-U Internet Monitor\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 164, 0, 0, 1, 21, 186
"e:\Coding\Ezé-U Internet Monitor\frontend\src\App.js", "JavaScript", 0, 0, 0, 363, 0, 0, 0, 0, 0, 28, 50, 441
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1092, 0, 0, 15, 184, 1291
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Dashboard.js", "JavaScript", 0, 0, 0, 1062, 0, 0, 0, 0, 0, 31, 73, 1166
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Settings.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1281, 0, 0, 12, 211, 1504
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Settings.js", "JavaScript", 0, 0, 0, 1843, 0, 0, 0, 0, 0, 16, 102, 1961
"e:\Coding\Ezé-U Internet Monitor\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 7, 48
"e:\Coding\Ezé-U Internet Monitor\frontend\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Coding\Ezé-U Internet Monitor\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4854, 0, 0, 0, 0, 1, 4855
"e:\Coding\Ezé-U Internet Monitor\package.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"e:\Coding\Ezé-U Internet Monitor\test-url-detection.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 10, 54
"Total", "-", 141, 49, 24, 4713, 15383, 24066, 2577, 18, 1, 347, 5380, 52699
